2025-11-16T15:08:15.206Z [APP] ✅ Premium features loaded successfully!
2025-11-16T15:08:15.208Z [APP] 🚀 Initializing Joplin to Anki Sync
2025-11-16T15:08:15.320Z [APP] 🔧 Verifying imported models exist...
2025-11-16T15:08:15.351Z [APP] ✅ Model verification completed
2025-11-16T15:08:15.351Z [APP] Running with Premium Two-Way Sync Engine...
2025-11-16T15:08:15.355Z [APP] 🚀 Starting Premium Two-Way Sync (Unified Engine)...
2025-11-16T15:08:15.356Z [APP] ❌ A critical error occurred during the sync process:
2025-11-16T15:33:10.109Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.112Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.115Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.118Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.120Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.121Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.123Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.125Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.130Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.134Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.135Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.137Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.138Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.140Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.230Z [APP] Retrieved tags for note 0fd8d848bca247c989d4205be3817195: ["histology📄::histology_1.1::histology_1.1.1","level_1::semester_1.1::semester_1.1.1","deck::anatomy🦴","subdeck::histology📄"]
2025-11-16T15:33:10.231Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.232Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.234Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.235Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.237Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.238Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.239Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.240Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.242Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.245Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.246Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.248Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.249Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.251Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.253Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.254Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.255Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.256Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.257Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.258Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.259Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.262Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.264Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.264Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.265Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.267Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.268Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.269Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.270Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.270Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.271Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.272Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.272Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.273Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.274Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.274Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.275Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.277Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.279Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.280Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.281Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.283Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.284Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.285Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.286Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.286Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.287Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.288Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.288Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.289Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.290Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.291Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.292Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::histology📄"
2025-11-16T15:33:10.399Z [APP] Retrieved tags for note 49a2fa7849464ca7b79a6a968b1c379d: ["subdeck::gross anatomy💪🏽","gross_anatomy💪🏽::gross_anatomy_1.1::gross_anatomy_1.1.1","level_1::semester_1.1::semester_1.1.1","deck::anatomy🦴"]
2025-11-16T15:33:10.400Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.401Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.401Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.402Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.403Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.404Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.404Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.405Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.406Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.407Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.408Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.409Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.413Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.414Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.415Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.416Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.417Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.418Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.419Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.420Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.421Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.421Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.422Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.423Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.423Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.424Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.425Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.426Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.428Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.430Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.431Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.432Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.434Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.435Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.435Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.436Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.436Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.437Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.438Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.438Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.439Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.440Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.441Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.441Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.443Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.445Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.447Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.449Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.450Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.452Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.453Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.454Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.455Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.455Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.456Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.458Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.459Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.464Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.465Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.466Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::gross anatomy💪🏽"
2025-11-16T15:33:10.611Z [APP] Retrieved tags for note 06f24bbe1c9c4eca91006a5d148b60e6: ["physiology🧬::physiology_1.1::physiology_1.1.1","deck::physiology🧬","level_1::semester_1.1::semester_1.1.1"]
2025-11-16T15:33:10.611Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.612Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.613Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.614Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.615Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.615Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.616Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.617Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.618Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.619Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.621Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.625Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.626Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.627Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.629Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.630Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.631Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.632Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.632Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.633Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.633Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.634Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.634Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.635Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.636Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.636Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.637Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.637Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.637Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.638Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.638Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.639Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.640Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.640Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.641Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.641Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.642Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.643Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.645Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "physiology🧬"
2025-11-16T15:33:10.981Z [APP] Retrieved tags for note 5d0ef7df940c4326958522d56fd78d73: ["embryology👶🏾::embryology_1.1::embryology_1.1.1","level_1::semester_1.1::semester_1.1.1","deck::anatomy🦴","subdeck::embryology👶🏾"]
2025-11-16T15:33:10.982Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.983Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.985Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.986Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.987Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.988Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.989Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.990Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.991Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.992Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.993Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.994Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.995Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:10.997Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.002Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.006Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.007Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.010Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.014Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.016Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.018Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.020Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
2025-11-16T15:33:11.021Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "anatomy🦴::embryology👶🏾"
